No,제목,학과,과정,년도,href
48,지금 생각하면 너무도 꿈같았던 그린스보로에서의 한 학기,경영학과,학부,2019,/partner/expReport.asp?id=16417&page=1&bgbn=R
47,행복했던 UNCG에서의 한 학기,산업공학과,학부,2019,/partner/expReport.asp?id=16248&page=1&bgbn=R
46,매일매일이 교환학생 같았으면,국제경영,대학원,2019,/partner/expReport.asp?id=16151&page=1&bgbn=R
45,힘들었지만 자꾸 생각나는 그린스보로에서의 한학기,작곡과,학부,2019,/partner/expReport.asp?id=15859&page=1&bgbn=R
44,UNCG에서의 한학기,행정학과,학부,2019,/partner/expReport.asp?id=15647&page=1&bgbn=R
43,UNCG에서의 잊지 못할 가을 학기,정치외교학과,학부,2016,/partner/expReport.asp?id=15031&page=1&bgbn=R
42,UNC 그린스보로에서의 1년,정치외교학과,학부,2017-2018,/partner/expReport.asp?id=14795&page=1&bgbn=R
41,UNCG에서의 한 학기,경제학과,학부,2018,/partner/expReport.asp?id=14732&page=1&bgbn=R
40,따뜻하고 아기자기했던 한 학기,사학과,학부,2017,/partner/expReport.asp?id=14384&page=1&bgbn=R
39,평화로웠던 UNCG,영어영문학과,학부,2015-2,/partner/expReport.asp?id=13790&page=1&bgbn=R
38,"작지만 편안하고 그리운, UNCG",경영학과,학부,2016,/partner/expReport.asp?id=13525&page=2&bgbn=R
37,UNCG에서의 한학기,행정학과,학부,2016,/partner/expReport.asp?id=13292&page=2&bgbn=R
36,경험보고서,행정학과,학부,2016,/partner/expReport.asp?id=13272&page=2&bgbn=R
35,그린즈보로에서의 잊지 못 할 교환학생 생활,실내건축,학부,2016,/partner/expReport.asp?id=12940&page=2&bgbn=R
34,UNCG에서 보낸 가을학기,경제학과,학부,2015,/partner/expReport.asp?id=12664&page=2&bgbn=R
33,UNCG에서의 아름다운 추억,심리학과,학부,2015,/partner/expReport.asp?id=12079&page=2&bgbn=R
32,UNCG에서의 한 학기,경영학과,학부,2015,/partner/expReport.asp?id=11842&page=2&bgbn=R
31,UNCG에서의 한학기,신문방송학/경영학,학부,2014,/partner/expReport.asp?id=8656&page=2&bgbn=R
30,UNCG에서의 평안했던 한 학기,행정학과,학부,2014,/partner/expReport.asp?id=8621&page=2&bgbn=R
29,UNCG 에서의 교환학생 생활,경제학과,학부,2014,/partner/expReport.asp?id=7536&page=2&bgbn=R
28,UNCG에서의 1년,식품영양학과/경영학과,학부,2014,/partner/expReport.asp?id=7506&page=3&bgbn=R
27,UNCG에서의 1년,경영학과,학부,2013,/partner/expReport.asp?id=7436&page=3&bgbn=R
26,Tips for UNCG/Greensboro,경영학과,학부,2012-2013,/partner/expReport.asp?id=6909&page=3&bgbn=R
25,UNCG 에서의 짧고 굵은 1학기,수학과,학부,2013,/partner/expReport.asp?id=6824&page=3&bgbn=R
24,Life in UNCG,식품영양학과,학부,2013,/partner/expReport.asp?id=6779&page=3&bgbn=R
23,UNCG에서의 2학기,생활디자인학과,학부,2012-2013,/partner/expReport.asp?id=6403&page=3&bgbn=R
22,UNCG에서의 행복한 생활!,행정학과,학부,2012,/partner/expReport.asp?id=6221&page=3&bgbn=R
21,좋은 경험 좋은 친구들 UNCG,노어노문학과,학부,2012,/partner/expReport.asp?id=6166&page=3&bgbn=R
20,UNCG 를 다녀와서~,교육과학대학 사회체육과,학부,2012,/partner/expReport.asp?id=6082&page=3&bgbn=R
19,평화로운 UNCG에서의 1년,경영학과,학부,2012,/partner/expReport.asp?id=5990&page=3&bgbn=R
18,UNCG에서의 소중한 경험,영어영문학과,학부,2012,/partner/expReport.asp?id=5984&page=4&bgbn=R
17,UNCG에서의 1년,경영학과/신문방송학과,학부,2012,/partner/expReport.asp?id=5980&page=4&bgbn=R
16,UNCG에서의 잊지못할 1년,경영학과,학부,2011-2012,/partner/expReport.asp?id=5752&page=4&bgbn=R
15,UNCG에서 보낸 1년,행정학과,학부,2011,/partner/expReport.asp?id=5439&page=4&bgbn=R
14,UNCG에서의 한학기,의류환경학과,학부,2011,/partner/expReport.asp?id=5435&page=4&bgbn=R
13,UNCG에서의 1년,경영학과,학부,2011,/partner/expReport.asp?id=5334&page=4&bgbn=R
12,1년동안의 UNCG 생활,경영학과,학부,2011,/partner/expReport.asp?id=5303&page=4&bgbn=R
11,2011년 봄 학기.,경제학과,학부,2011,/partner/expReport.asp?id=5050&page=4&bgbn=R
10,잊을 수 없는 2010년,교육학과/경영학과,학부,2010,/partner/expReport.asp?id=4603&page=4&bgbn=R
9,"너무나 생생한, UNCG에서의 생활을 돌아보며.",정치외교학과,학부,2010,/partner/expReport.asp?id=4601&page=4&bgbn=R
8,사람이 좋은 그곳 UNCG,식품영양학과,학부,2009-2010,/partner/expReport.asp?id=4201&page=5&bgbn=R
7,그리운 UNCG,경영학과,학부,2009,/partner/expReport.asp?id=4196&page=5&bgbn=R
6,UNCG에서의 가을학기,교육학과,학부,2009,/partner/expReport.asp?id=4111&page=5&bgbn=R
5,즐거웠던 UNCG...,화학과,학부,2009,/partner/expReport.asp?id=3600&page=5&bgbn=R
4,UNCG에서의 두 학기,경제학과,학부,2008-2009,/partner/expReport.asp?id=3546&page=5&bgbn=R
3,UNCG에서의 꿈같았던 1년의 추억,사회복지학과,학부,2007,/partner/expReport.asp?id=2970&page=5&bgbn=R
2,UNCG에서의 한 학기,주거환경 & 아동가족,학부,2006,/partner/expReport.asp?id=2784&page=5&bgbn=R
1,2006년의 꿈 같은 기억 UNCG에서의 1학기,경영학과,학부,2006,/partner/expReport.asp?id=2377&page=5&bgbn=R
