No,제목,학과,과정,년도,href
60,오래 잊지 못할 헤이그,심리학과,학부,2011,/partner/expReport.asp?id=5562&page=6&bgbn=R
59,헤이그 대학가시는 분들을 위한 유익한 정보들,심리학과,학부,2011,/partner/expReport.asp?id=5555&page=6&bgbn=R
58,교환학생을 꼭 가야하는 이유,경영,학부,2011,/partner/expReport.asp?id=5519&page=6&bgbn=R
57,헤이그에서의 1년,영어영문학과,학부,2011,/partner/expReport.asp?id=5368&page=6&bgbn=R
56,"작지만 큰 나라, 그리고 헤이그",경영대학,학부,2011,/partner/expReport.asp?id=5347&page=6&bgbn=R
55,개인적인 팁들,신문방송학과,학부,2011,/partner/expReport.asp?id=5281&page=6&bgbn=R
54,꿈만 같았던 나의 6개월,영어영문학과,학부,2011,/partner/expReport.asp?id=5205&page=6&bgbn=R
53,"후회없는 선택, 헤이그대학교",행정학과,학부,2011,/partner/expReport.asp?id=5152&page=7&bgbn=R
52,인생의 황금기,교육학과,학부,2011,/partner/expReport.asp?id=5060&page=7&bgbn=R
51,헤이그에서의 교환학생^^*,신문방송학과,학부,2010,/partner/expReport.asp?id=4888&page=7&bgbn=R
50,헤이그에서의 1년,사회복지/경영,학부,2010,/partner/expReport.asp?id=4848&page=7&bgbn=R
49,"헤이그 대학교, 그리고 값진 1년",경영학과,학부,2010,/partner/expReport.asp?id=4847&page=7&bgbn=R
48,Hague univ.에서의 즐거웠던 나날들^_^,경영학과,학부,2010,/partner/expReport.asp?id=4481&page=7&bgbn=R
47,반짝반짝 빛나는,신문방송학과,학부,2009,/partner/expReport.asp?id=4277&page=7&bgbn=R
46,Hague univ.,행정학과,학부,2009,/partner/expReport.asp?id=4219&page=7&bgbn=R
45,Taste Hague !,주거환경학과,학부,2007,/partner/expReport.asp?id=3246&page=7&bgbn=R
44,Hague에서의 1년,정치외교학과,학부,2007,/partner/expReport.asp?id=3126&page=7&bgbn=R
43,궁금해?,신문방송학과,학부,2007,/partner/expReport.asp?id=3044&page=8&bgbn=R
42,헤이그에서 보낸 1년,경영학과,학부,2007,/partner/expReport.asp?id=3025&page=8&bgbn=R
41,잊을 수 없는 Hague에서의 6개월..,불어불문학과,학부,2007,/partner/expReport.asp?id=2892&page=8&bgbn=R
40,문신처럼 새겨진 교환학생의 추억,교육학과,학부,2007,/partner/expReport.asp?id=2850&page=8&bgbn=R
39,다양한 문화를 체험할 수있는 Hague University,응용통계학과,학부,2007,/partner/expReport.asp?id=2821&page=8&bgbn=R
38,Hague에서의 6개월,전기전자,학부,2007,/partner/expReport.asp?id=2728&page=8&bgbn=R
37,"Memory..잊지못할 그 곳, Hague.",국제관계학과,학부,2006-2007,/partner/expReport.asp?id=2710&page=8&bgbn=R
36,"교환학생의 낙원,헤이그 대학에서!",경영학과,학부,2006,/partner/expReport.asp?id=2544&page=8&bgbn=R
35,잊을 수 없는 소중한 추억,경영학과,학부,2006,/partner/expReport.asp?id=2524&page=8&bgbn=R
34,HEBO 에서의 일 년,경영학과,학부,2005,/partner/expReport.asp?id=2209&page=8&bgbn=R
33,헤이그에서의 6개월,경영학과,학부,2006,/partner/expReport.asp?id=2189&page=9&bgbn=R
32,Hague University,경영학과,학부,2006,/partner/expReport.asp?id=2188&page=9&bgbn=R
31,hey. hague.,신문방송학과,학부,2006,/partner/expReport.asp?id=2181&page=9&bgbn=R
30,HEBO에서의 1년,경영학과,학부,2005-2006,/partner/expReport.asp?id=2153&page=9&bgbn=R
29,내 인생의 스페셜,법학과,학부,2005,/partner/expReport.asp?id=1922&page=9&bgbn=R
28,HEBO 교환학생 경험보고서,영어영문학과,학부,2002-2003,/partner/expReport.asp?id=1837&page=9&bgbn=R
27,Hallo~Welkom~~!!,신문방송학과,학부,2004-2005,/partner/expReport.asp?id=1783&page=9&bgbn=R
