No,제목,학과,과정,년도,href
10,University of South Florida 경험 보고서,사회복지학과,학부,2003,/partner/expReport.asp?id=1396&page=6&bgbn=R
9,USF에서의 한학기,경영학전공,학부,2004,/partner/expReport.asp?id=1296&page=7&bgbn=R
8,인생 최고의 순간들을 회상하며,경영학전공,학부,2003,/partner/expReport.asp?id=1173&page=7&bgbn=R
7,My USF,상경계열,학부,2003-2004,/partner/expReport.asp?id=1171&page=7&bgbn=R
6,꿈만 같던 지난 1년,영어영문학전공,학부,2003,/partner/expReport.asp?id=1015&page=7&bgbn=R
5,U of South Florida - 김재은,신문방송학과,학부,2001-2002,/partner/expReport.asp?id=632&page=7&bgbn=R
4,U of South Florida - 고아영,영어영문학전공,학부,2001,/partner/expReport.asp?id=491&page=7&bgbn=R
3,U of South Florida - 이현종,사회학전공,학부,2001,/partner/expReport.asp?id=460&page=7&bgbn=R
2,U of South Florida - 조지연,인문학부,학부,2001,/partner/expReport.asp?id=459&page=7&bgbn=R
1,University of South Florida-민주홍,경영학전공,학부,1998,/partner/expReport.asp?id=22&page=7&bgbn=R
