No,제목,학과,과정,년도,href
17,9개월 동안의 값진 경험,경영,학부,2013-2014,/partner/expReport.asp?id=7273&page=1&bgbn=R
16,1년동안의 값진 추억,경영학과,학부,2012-2013,/partner/expReport.asp?id=6602&page=1&bgbn=R
15,"즐거운 나날들의 연속, ESCEM",경영학과,학부,2012-2013,/partner/expReport.asp?id=6598&page=1&bgbn=R
14,ESCEM에서의 행복한 1학기,경제학과,학부,2013,/partner/expReport.asp?id=6595&page=1&bgbn=R
13,한 학기 동안의 좋은 휴식,경제학과,학부,2013,/partner/expReport.asp?id=6466&page=1&bgbn=R
12,"화려한 나라 프랑스, 그 안의 작은 도시 푸아티에",경영학과,학부,2012,/partner/expReport.asp?id=6313&page=1&bgbn=R
11,즐거웠던 교환 학생 경험,정치외교,학부,2012,/partner/expReport.asp?id=5956&page=1&bgbn=R
10,대학생활의 가장 값진 경험,경영학과,학부,2010,/partner/expReport.asp?id=5358&page=1&bgbn=R
9,ESCEM Poitiers 에서의 추억,경영학과,학부,2010-2011,/partner/expReport.asp?id=5224&page=1&bgbn=R
8,잊지못할 값진 추억과 경험,응용통계학과,학부,2010,/partner/expReport.asp?id=4785&page=1&bgbn=R
7,교환학생으로서의 잊지못할 1년,경영학과,학부,2009-2010,/partner/expReport.asp?id=4582&page=2&bgbn=R
6,ESCEM에서의 잊지못할 한 학기,경영학과,학부,2010,/partner/expReport.asp?id=4571&page=2&bgbn=R
5,poitiers에서의 1년,경제학과,학부,2009,/partner/expReport.asp?id=4411&page=2&bgbn=R
4,ESCEM에서의 잊지못할 한 학기,경영학과,학부,2009,/partner/expReport.asp?id=4406&page=2&bgbn=R
3,잊을 수 없는 한 학기..,경영학과,학부,2009,/partner/expReport.asp?id=3800&page=2&bgbn=R
2,ESCEM-Poitiers,경제학과,학부,2008,/partner/expReport.asp?id=3333&page=2&bgbn=R
1,ESCEM 에서의 한 학기,의류환경학과,학부,2008,/partner/expReport.asp?id=3278&page=2&bgbn=R
