No,제목,학과,과정,년도,href
21,떠나고 싶지 않았던 OSU,응용생명과학과,학부,2019-2020,/partner/expReport.asp?id=16649&page=1&bgbn=R
20,OSU 경험보고서,응용통계학과,학부,2018,/partner/expReport.asp?id=15366&page=1&bgbn=R
19,OSU에서의 1년,응용통계학과,학부,2016,/partner/expReport.asp?id=13472&page=1&bgbn=R
18,OSU에서의 가을학기,응용통계,학부,2016,/partner/expReport.asp?id=13451&page=1&bgbn=R
17,OSU에서의 가을 학기,경제학과,학부,2015,/partner/expReport.asp?id=12436&page=1&bgbn=R
16,OSU에서의 1년,경영학과,학부,2011-2012,/partner/expReport.asp?id=5635&page=1&bgbn=R
15,OSU Cowgirl life,의류환경학,학부,2011-2012,/partner/expReport.asp?id=5558&page=1&bgbn=R
14,OSU,경영학과,학부,2010,/partner/expReport.asp?id=4983&page=1&bgbn=R
13,그리운 스틸워터,경영학과,학부,2010,/partner/expReport.asp?id=4612&page=1&bgbn=R
12,꿈같던 OSU,행정학과,학부,2010,/partner/expReport.asp?id=4560&page=1&bgbn=R
11,OSUI에서의 잊지못할 한학기,경제학과,학부,2010,/partner/expReport.asp?id=4256&page=2&bgbn=R
10,OSU에서의 한 학기,경영학과,학부,2010,/partner/expReport.asp?id=4231&page=2&bgbn=R
9,짧지만 결코 짧지않았던 OSU에서의 한학기,생명공학과,학부,2009,/partner/expReport.asp?id=4060&page=2&bgbn=R
8,OSU,영어영문학과,학부,2009,/partner/expReport.asp?id=3914&page=2&bgbn=R
7,OK...,심리학,학부,2008-2009,/partner/expReport.asp?id=3675&page=2&bgbn=R
6,@OSU,정치외교학과,학부,2008-2009,/partner/expReport.asp?id=3621&page=2&bgbn=R
5,OSU 교환학생 경험보고서,사학과,학부,2009,/partner/expReport.asp?id=3587&page=2&bgbn=R
4,Oklahoma State University,주거환경학과,학부,2007,/partner/expReport.asp?id=2931&page=2&bgbn=R
3,오클라호마 주립대학에서의 1년,경영학과,학부,2007,/partner/expReport.asp?id=2900&page=2&bgbn=R
2,OSU 가을학기,응용통계학과,학부,2007,/partner/expReport.asp?id=2862&page=2&bgbn=R
1,OSU에서의 한 학기,의예과,학부,2007,/partner/expReport.asp?id=2849&page=3&bgbn=R
