No,제목,학과,과정,년도,href
7,"영어를 배울 수 있는 최적의 환경, NWU",영어영문학과,학부,2016,/partner/expReport.asp?id=13483&page=1&bgbn=R
6,"깊이 있는 영문학 공부를 하고 싶다면, NWU로","교육학과,영어 영문학과",학부,2011,/partner/expReport.asp?id=5567&page=1&bgbn=R
5,Welcome to NWU!,경영학과,학부,2007,/partner/expReport.asp?id=2925&page=1&bgbn=R
4,네브라스카로 오세요.,정치외교학과,학부,2004,/partner/expReport.asp?id=1408&page=1&bgbn=R
3,Nebraska Wesleyan Univ.-이지숙,영어영문학전공,학부,2003,/partner/expReport.asp?id=1060&page=1&bgbn=R
2,Nebraska Wesleyan Univ.-김연정,영어영문학전공,학부,2001,/partner/expReport.asp?id=299&page=1&bgbn=R
1,Nebraska Wesleyan Univ.-김지연,영어영문학전공,학부,2000,/partner/expReport.asp?id=181&page=1&bgbn=R
