No,제목,학과,과정,년도,href
7,잊을 수 없는 추억이 된 그라츠에서의 반년,행정학과,학부,2016,/partner/expReport.asp?id=13877&page=1&bgbn=R
6,행복했던 6개월의 기억,실내건축학과,학부,2015,/partner/expReport.asp?id=13372&page=1&bgbn=R
5,2016.01.31~2016.08.21,생활디자인학과,학부,2016,/partner/expReport.asp?id=13277&page=1&bgbn=R
4,잊지 못할 추억이 된 한 학기 동안의 그라츠 생활,의류환경학과,학부,2016,/partner/expReport.asp?id=13276&page=1&bgbn=R
3,그라츠에서의 한 학기,심리학과,학부,2016-1학기,/partner/expReport.asp?id=13275&page=1&bgbn=R
2,그라츠에서 보낸 1년,문화인류학과,학부,2015,/partner/expReport.asp?id=12695&page=1&bgbn=R
1,"모든 것이 낯설었던 한 학기, 나의 graz.",신문방송학과,학부,2011,/partner/expReport.asp?id=5179&page=1&bgbn=R
