No,제목,학과,과정,년도,href
23,평화롭고 자유로웠던 sac state에서의 1년,수학과,학부,2013-2014,/partner/expReport.asp?id=12783&page=1&bgbn=R
22,여유로웠던 한학기,생활디자인학과,학부,2015,/partner/expReport.asp?id=12704&page=1&bgbn=R
21,건강한 생활 새크라멘토 with 청설모,영어영문학과,학부,2014-2015,/partner/expReport.asp?id=12053&page=1&bgbn=R
20,2010112089,영어영문학과,대학원,2014-2015,/partner/expReport.asp?id=11992&page=1&bgbn=R
19,"Welcome to Slow&Peaceful city, Sacramento",경제학과,학부,2014-2015,/partner/expReport.asp?id=11974&page=1&bgbn=R
18,Sac State 학생으로서의 1년.,경제,학부,2014-2015,/partner/expReport.asp?id=11892&page=1&bgbn=R
17,돌아가고픈 새크라멘토에서의 1년,행정학과,학부,2013-2014,/partner/expReport.asp?id=7490&page=1&bgbn=R
16,하늘이 예쁜 Sacramento에서의 1년,영어영문학과,학부,2012-2013,/partner/expReport.asp?id=6410&page=1&bgbn=R
15,잊을수 없는 새크라멘토!,행정학과,학부,2012,/partner/expReport.asp?id=6123&page=1&bgbn=R
14,"나무의 도시, 새크라멘토에서의 한학기","법, 문화인류학",학부,2012,/partner/expReport.asp?id=6067&page=1&bgbn=R
13,내 인생에 한 획을 그은 Sacramento의 추억,영어영문학과,학부,2012,/partner/expReport.asp?id=6057&page=2&bgbn=R
12,잊을 수 없는 sacramento에서의 한학기,"교육학과, 영어영문학과",학부,2011,/partner/expReport.asp?id=5323&page=2&bgbn=R
11,1년간의 잊지못할 파견생활,사회복지학과,학부,2010-2011,/partner/expReport.asp?id=5127&page=2&bgbn=R
10,Sacramento에서의 평화로운 한학기,경제학과,학부,2010,/partner/expReport.asp?id=5072&page=2&bgbn=R
9,"숲 속의 교정, Sac State에서의 한 학기를 마치며.",경영학과,학부,2011,/partner/expReport.asp?id=5043&page=2&bgbn=R
8,sac state에서의 한 학기,건축공학과,학부,2011,/partner/expReport.asp?id=4948&page=2&bgbn=R
7,Sac State,신학,학부,2010,/partner/expReport.asp?id=4630&page=2&bgbn=R
6,Sac State에서의 한학기,의류환경학과,학부,2010,/partner/expReport.asp?id=4591&page=2&bgbn=R
5,CSU에서의 잊지 못할 한 학기,간호학과,학부,2010,/partner/expReport.asp?id=4442&page=2&bgbn=R
4,Sac State에서의 1년,의류환경학과,학부,2009-2010,/partner/expReport.asp?id=4283&page=2&bgbn=R
3,CSUS에서의 한학기.,신문방송학과,학부,2008,/partner/expReport.asp?id=3164&page=3&bgbn=R
2,Sac State,경영학과,학부,2005,/partner/expReport.asp?id=1850&page=3&bgbn=R
1,강으로 둘러싸인 평화로운 대학,영어영문학전공,학부,2002-2003,/partner/expReport.asp?id=873&page=3&bgbn=R
