No,제목,학과,과정,년도,href
20,잊지 못할 한 학기의 교환학생 생활,경영학과,학부,2015,/partner/expReport.asp?id=12592&page=1&bgbn=R
19,잊지 못할 Olaf에서의 1년,경영학과,학부,2014-2015,/partner/expReport.asp?id=11896&page=1&bgbn=R
18,다시 오지 않을 휴식 같았던 한학기,교육/경제,학부,2013,/partner/expReport.asp?id=6840&page=1&bgbn=R
17,St. Olaf에서의 소중한 추억,경영학과,학부,2013,/partner/expReport.asp?id=6771&page=1&bgbn=R
16,"미국 중부 사립 명문, St. Olaf 에서의 생활",경제학과,학부,2012,/partner/expReport.asp?id=5609&page=1&bgbn=R
15,St.Olaf에서의 한학기,영어영문학과,학부,2011,/partner/expReport.asp?id=5350&page=1&bgbn=R
14,진정 후회 없었던 최선의 선택. 천혜의 환경. ST. OLAF!,경영학과,학부,2010,/partner/expReport.asp?id=4613&page=1&bgbn=R
13,St. Olaf 에서의 1년,사회체육/경영,학부,2008-2009,/partner/expReport.asp?id=3943&page=1&bgbn=R
12,사람들이 너무 좋은 곳. 꿈만 같았던 St.Olaf,교육/영문,학부,2007-08,/partner/expReport.asp?id=3163&page=1&bgbn=R
11,St.Olaf에서의 소중한 1년!,경영학과,학부,2006-2007,/partner/expReport.asp?id=2802&page=1&bgbn=R
10,매우 소중해서 쉽게 잊고 싶지 않은 1년,사회학과,학부,2005-2006,/partner/expReport.asp?id=2231&page=2&bgbn=R
9,"잊을 수 없는, 잊고 싶지 않은",영어영문학과,학부,2005,/partner/expReport.asp?id=1800&page=2&bgbn=R
8,운좋게 얻은 귀중한 경험,화학공학과,학부,2005,/partner/expReport.asp?id=1769&page=2&bgbn=R
7,St.Olaf College에서의 생활,심리학과,학부,2005,/partner/expReport.asp?id=1767&page=2&bgbn=R
6,St.Olaf College,영어영문과,학부,2005,/partner/expReport.asp?id=1727&page=2&bgbn=R
5,St. Olaf College - 서형주,경영학과,학부,2005,/partner/expReport.asp?id=1614&page=2&bgbn=R
4,St.Olaf College,사학전공,학부,2004,/partner/expReport.asp?id=1432&page=2&bgbn=R
3,St.Olaf College-오민아,수학전공,학부,2003-2004,/partner/expReport.asp?id=1321&page=2&bgbn=R
2,St. Olaf College-이경선,인문학부,학부,2002-2003,/partner/expReport.asp?id=989&page=2&bgbn=R
1,St.Olaf College-홍나윤,인문학부,학부,1999-2000,/partner/expReport.asp?id=153&page=2&bgbn=R
