No,제목,학과,과정,년도,href
8,네이메헌에서의 한 학기,언론홍보영상학부,학부,2018,/partner/expReport.asp?id=16327&page=1&bgbn=R
7,나만 기억하면 돼,경제학과,학부,2019,/partner/expReport.asp?id=16223&page=1&bgbn=R
6,잔잔하지만 다양한 것을 배운 교환학생 라이프,체육교육학과,학부,2018-2,/partner/expReport.asp?id=15337&page=1&bgbn=R
5,라드바우드 대학(Radboud university) 후기,사회복지학과,학부,2018-2,/partner/expReport.asp?id=15319&page=1&bgbn=R
4,즐거웠던 네이메헌에서의 6개월,행정학과,학부,2016,/partner/expReport.asp?id=14365&page=1&bgbn=R
3,네덜란드에서의 작고 조용한 일상을 만끽한 교환 생활,문헌정보학과,학부,2016-2017,/partner/expReport.asp?id=14281&page=1&bgbn=R
2,"또 가고 싶다 , NIJMEGEN",보건행정학과,학부,2017,/partner/expReport.asp?id=14185&page=1&bgbn=R
1,"네덜란드여서, 네이메헌이여서 더 행복했던 나의 6개월",언론홍보영상학부/문화인류학과,학부,2016-2017,/partner/expReport.asp?id=13865&page=1&bgbn=R
