No,제목,학과,과정,년도,href
6,앙제대학교 인문캠퍼스에서의 한 학기,불어불문학과,학부,2017,/partner/expReport.asp?id=14231&page=1&bgbn=R
5,앙제대학교 인문캠퍼스 후기,불어불문학과,학부,2017,/partner/expReport.asp?id=14214&page=1&bgbn=R
4,Angers에서의 한 학기,불어불문학과,학부,2016-2017,/partner/expReport.asp?id=13873&page=1&bgbn=R
3,Une magnifique experience a Angers,불어불문학과,학부,2012,/partner/expReport.asp?id=5949&page=1&bgbn=R
2,Angers,정치외교학과,학부,2007,/partner/expReport.asp?id=2717&page=1&bgbn=R
1,Angers에서의 한학기,불어불문학과,학부,2007,/partner/expReport.asp?id=2703&page=1&bgbn=R
