No,제목,학과,과정,년도,href
7,길림대에서 보낸 한 학기,경영학과,학부,2016,/partner/expReport.asp?id=13354&page=1&bgbn=R
6,길림대학교에서의 한학기,중어중문학과,학부,2015-2,/partner/expReport.asp?id=12638&page=1&bgbn=R
5,잊을 수 없는 기억 길림대학교!!ㅎㅎ,전기전자공학부,학부,2007,/partner/expReport.asp?id=3113&page=1&bgbn=R
4,꿈도 대륙이어라!,교육학과,학부,2007,/partner/expReport.asp?id=3024&page=1&bgbn=R
3,벌써부터 그리운 길림대에서의 1년여간의 생활,중어중문학과,학부,2006-2007,/partner/expReport.asp?id=2793&page=1&bgbn=R
2,忘不了! 길림대에서의 한 학기를 보내고..,사회과학대 행정학과,학부,2006,/partner/expReport.asp?id=2160&page=1&bgbn=R
1,길림대에서의 한학기,사학과,학부,2006,/partner/expReport.asp?id=2081&page=1&bgbn=R
